       0.000      agent                   wait for [isa=text]
       0.050      agent.vision            found {'isa': 'text', 'x': 50, 'y': 50, 'w': 200, 'h': 200, 'seen': False, 'multiline': True}
       0.050      agent                   encode {'isa': 'text', 'x': 50, 'y': 50, 'w': 200, 'h': 200, 'seen': False, 'multiline': True}
       0.235      agent.vision            encoded p:psychomotor-vigilance is a task.
There is a screen that is in the task.
The n:space_bar is a button and is in the task.
There is a subject that is in the task.
There is a slook that is in the task.
If a subject is in the task then the task is active.
If the task is active then a slook appears on the screen.
If the slook appears on the screen then the subject presses the n:space_bar.
       0.235      agent.language          interpreting "p:psychomotor-vigilance is a task.
There is a screen that is in the task.
The n:space_bar is a button and is in the task.
There is a subject that is in the task.
There is a slook that is in the task.
If a subject is in the task then the task is active.
If the task is active then a slook appears on the screen.
If the slook appears on the screen then the subject presses the n:space_bar."
       0.235      agent                   recall ground rules
       0.285      agent.memory            recalling ground rules
       0.485      agent.memory            recalled ground rules
       0.485      agent                   recall ground rules
       0.535      agent.memory            recalling ground rules
       0.735      agent.memory            recalled ground rules
       0.735      agent                   recall ground rules
       0.785      agent.memory            recalling ground rules
       0.985      agent.memory            recalled ground rules
       0.985      agent                   recall ground rules
       1.035      agent.memory            recalling ground rules
       1.235      agent.memory            recalled ground rules
       1.235      agent                   recall ground rules
       1.285      agent.memory            recalling ground rules
       1.485      agent.memory            recalled ground rules
       1.485      agent                   recall ground rules
       1.535      agent.memory            recalling ground rules
       1.735      agent.memory            recalled ground rules
       1.735      agent                   recall ground rules
       1.785      agent.memory            recalling ground rules
       1.985      agent.memory            recalled ground rules
       1.985      agent                   recall ground rules
       2.035      agent.memory            recalling ground rules
       2.235      agent.memory            recalled ground rules
       2.235      agent                   recall ground rules
       2.285      agent.memory            recalling ground rules
       2.485      agent.memory            recalled ground rules
       2.485      agent                   recall ground rules
       2.535      agent.memory            recalling ground rules
       2.735      agent.memory            recalled ground rules
       2.735      agent                   recall ground rules
       2.785      agent.memory            recalling ground rules
       2.985      agent.memory            recalled ground rules
       2.985      agent                   recall ground rules
       3.035      agent.memory            recalling ground rules
       3.235      agent.memory            recalled ground rules
       3.235      agent                   recall ground rules
       3.285      agent.memory            recalling ground rules
       3.485      agent.memory            recalled ground rules
       3.485      agent                   recall ground rules
       3.535      agent.memory            recalling ground rules
       3.735      agent.memory            recalled ground rules
       3.735      agent                   recall ground rules
       3.785      agent.memory            recalling ground rules
       3.985      agent.memory            recalled ground rules
       3.985      agent                   recall ground rules
       4.035      agent.memory            recalling ground rules
       4.235      agent.memory            recalled ground rules
       4.235      agent                   recall ground rules
       4.285      agent.memory            recalling ground rules
       4.485      agent.memory            recalled ground rules
       4.485      agent                   recall ground rules
       4.535      agent.memory            recalling ground rules
       4.735      agent.memory            recalled ground rules
       4.735      agent                   recall ground rules
       4.785      agent.memory            recalling ground rules
       4.985      agent.memory            recalled ground rules
       4.985      agent                   recall ground rules
       5.035      agent.memory            recalling ground rules
       5.235      agent.memory            recalled ground rules
       5.235      agent                   recall ground rules
       5.285      agent.memory            recalling ground rules
       5.485      agent.memory            recalled ground rules
       5.485      agent                   recall ground rules
       5.535      agent.memory            recalling ground rules
       5.735      agent.memory            recalled ground rules
       5.735      agent                   recall ground rules
       5.785      agent.memory            recalling ground rules
       5.985      agent.memory            recalled ground rules
       5.985      agent                   recall ground rules
       6.035      agent.memory            recalling ground rules
       6.235      agent.memory            recalled ground rules
       6.235      agent                   recall ground rules
       6.285      agent.memory            recalling ground rules
       6.485      agent.memory            recalled ground rules
       6.485      agent                   recall ground rules
       6.535      agent.memory            recalling ground rules
       6.735      agent.memory            recalled ground rules
       6.735      agent                   recall ground rules
       6.785      agent.memory            recalling ground rules
       6.985      agent.memory            recalled ground rules
       6.985      agent                   recall ground rules
       7.035      agent.memory            recalling ground rules
       7.235      agent.memory            recalled ground rules
       7.235      agent                   recall ground rules
       7.285      agent.memory            recalling ground rules
       7.485      agent.memory            recalled ground rules
       7.485      agent                   recall ground rules
       7.535      agent.memory            recalling ground rules
       7.735      agent.memory            recalled ground rules
       7.735      agent                   recall ground rules
       7.785      agent.memory            recalling ground rules
       7.985      agent.memory            recalled ground rules
       7.985      agent                   recall ground rules
       8.035      agent.memory            recalling ground rules
       8.235      agent.memory            recalled ground rules
       8.235      agent                   recall ground rules
       8.285      agent.memory            recalling ground rules
       8.485      agent.memory            recalled ground rules
       8.485      agent                   recall ground rules
       8.535      agent.memory            recalling ground rules
       8.735      agent.memory            recalled ground rules
       8.735      agent                   recall ground rules
       8.785      agent.memory            recalling ground rules
       8.985      agent.memory            recalled ground rules
       8.985      agent                   recall ground rules
       9.035      agent.memory            recalling ground rules
       9.235      agent.memory            recalled ground rules
       9.235      agent                   recall ground rules
       9.285      agent.memory            recalling ground rules
       9.485      agent.memory            recalled ground rules
       9.485      agent                   recall ground rules
       9.535      agent.memory            recalling ground rules
       9.735      agent.memory            recalled ground rules
       9.735      agent                   recall ground rules
       9.785      agent.memory            recalling ground rules
       9.985      agent.memory            recalled ground rules
       9.985      agent                   recall ground rules
      10.035      agent.memory            recalling ground rules
      10.235      agent.memory            recalled ground rules
      10.235      agent                   recall ground rules
      10.285      agent.memory            recalling ground rules
      10.485      agent.memory            recalled ground rules
      10.485      agent                   recall ground rules
      10.535      agent.memory            recalling ground rules
      10.735      agent.memory            recalled ground rules
      10.735      agent                   recall ground rules
      10.785      agent.memory            recalling ground rules
      10.985      agent.memory            recalled ground rules
      10.985      agent                   recall ground rules
      11.035      agent.memory            recalling ground rules
      11.235      agent.memory            recalled ground rules
      11.235      agent                   recall ground rules
      11.285      agent.memory            recalling ground rules
      11.485      agent.memory            recalled ground rules
      11.485      agent                   recall ground rules
      11.535      agent.memory            recalling ground rules
      11.735      agent.memory            recalled ground rules
      11.735      agent                   recall ground rules
      11.785      agent.memory            recalling ground rules
      11.985      agent.memory            recalled ground rules
      11.985      agent                   recall ground rules
      12.035      agent.memory            recalling ground rules
      12.235      agent.memory            recalled ground rules
      12.235      agent                   recall ground rules
      12.285      agent.memory            recalling ground rules
      12.485      agent.memory            recalled ground rules
      12.485      agent                   recall ground rules
      12.535      agent.memory            recalling ground rules
      12.735      agent.memory            recalled ground rules
      12.735      agent                   recall ground rules
      12.785      agent.memory            recalling ground rules
      12.985      agent.memory            recalled ground rules
      12.985      agent                   recall ground rules
      13.035      agent.memory            recalling ground rules
      13.235      agent.memory            recalled ground rules
      13.235      agent                   recall ground rules
      13.285      agent.memory            recalling ground rules
      13.485      agent.memory            recalled ground rules
      13.485      agent                   recall ground rules
      13.535      agent.memory            recalling ground rules
      13.735      agent.memory            recalled ground rules
